RandRep,Treat,Gen,CovParm,Subject,Estimate
876,1,1,"UN(1,1)",Line,0.2231
876,1,1,"UN(2,1)",Line,0.1053
876,1,1,"UN(2,2)",Line,0.2095
876,1,1,"UN(3,1)",Line,-0.1052
876,1,1,"UN(3,2)",Line,0.05097
876,1,1,"UN(3,3)",Line,0.1816
876,1,1,"UN(4,1)",Line,-0.00235
876,1,1,"UN(4,2)",Line,-0.01666
876,1,1,"UN(4,3)",Line,-0.00703
876,1,1,"UN(4,4)",Line,0.1788
876,1,1,"UN(5,1)",Line,0.1662
876,1,1,"UN(5,2)",Line,0.1978
876,1,1,"UN(5,3)",Line,0.006222
876,1,1,"UN(5,4)",Line,0.000279
876,1,1,"UN(5,5)",Line,0.2661
876,1,1,"UN(6,1)",Line,-0.00779
876,1,1,"UN(6,2)",Line,-0.1152
876,1,1,"UN(6,3)",Line,-0.1096
876,1,1,"UN(6,4)",Line,-0.05178
876,1,1,"UN(6,5)",Line,-0.06657
876,1,1,"UN(6,6)",Line,0.1515
876,1,1,"UN(1,1)",Vial(Treat*Line),0.08790
876,1,1,"UN(2,1)",Vial(Treat*Line),0.005665
876,1,1,"UN(2,2)",Vial(Treat*Line),0
876,1,1,"UN(3,1)",Vial(Treat*Line),0.01549
876,1,1,"UN(3,2)",Vial(Treat*Line),-0.00655
876,1,1,"UN(3,3)",Vial(Treat*Line),0.008557
876,1,1,"UN(4,1)",Vial(Treat*Line),-0.01142
876,1,1,"UN(4,2)",Vial(Treat*Line),0.08223
876,1,1,"UN(4,3)",Vial(Treat*Line),0.01458
876,1,1,"UN(4,4)",Vial(Treat*Line),0.000912
876,1,1,"UN(5,1)",Vial(Treat*Line),0.01770
876,1,1,"UN(5,2)",Vial(Treat*Line),0.01231
876,1,1,"UN(5,3)",Vial(Treat*Line),-0.01171
876,1,1,"UN(5,4)",Vial(Treat*Line),0.02880
876,1,1,"UN(5,5)",Vial(Treat*Line),0
876,1,1,"UN(6,1)",Vial(Treat*Line),-0.04282
876,1,1,"UN(6,2)",Vial(Treat*Line),-0.03009
876,1,1,"UN(6,3)",Vial(Treat*Line),-0.01095
876,1,1,"UN(6,4)",Vial(Treat*Line),-0.03549
876,1,1,"UN(6,5)",Vial(Treat*Line),-0.02504
876,1,1,"UN(6,6)",Vial(Treat*Line),0.02867
876,1,1,"UN(1,1)",Anim(Trea*Line*Vial),0.5123
876,1,1,"UN(2,1)",Anim(Trea*Line*Vial),0.1837
876,1,1,"UN(2,2)",Anim(Trea*Line*Vial),0.8358
876,1,1,"UN(3,1)",Anim(Trea*Line*Vial),0.01834
