RandRep,Animal,Gen,Treatment,Treat,Line,Vial,Ind,MD,multiout,Index,Trait,Score
1,91,1,S,1,1,1,1,18.344679476492,0,CS,1,1125.51311755029
1,91,1,S,1,1,1,1,18.344679476492,0,ILD2.5,5,0.514038855024618
1,92,1,S,1,1,1,2,2.98354686571493,0,CS,1,1164.24415156119
1,92,1,S,1,1,1,2,2.98354686571493,0,ILD2.5,5,0.502716881415357
1,93,1,S,1,1,1,3,4.41465539997044,0,CS,1,1163.71178180471
1,93,1,S,1,1,1,3,4.41465539997044,0,ILD2.5,5,0.505718413715047
1,94,1,S,1,1,1,5,5.18103673583167,0,CS,1,1181.40265033654
1,94,1,S,1,1,1,5,5.18103673583167,0,ILD2.5,5,0.51811051020806
1,95,1,S,1,1,1,6,3.70683369335775,0,CS,1,1171.41206337574
1,95,1,S,1,1,1,6,3.70683369335775,0,ILD2.5,5,0.51510299187815
1,96,1,S,1,1,2,1,5.7475441939092,0,CS,1,1142.56767365827
1,96,1,S,1,1,2,1,5.7475441939092,0,ILD2.5,5,0.50600047295326
1,97,1,S,1,1,2,2,4.30639565817633,0,CS,1,1206.51822291344
1,97,1,S,1,1,2,2,4.30639565817633,0,ILD2.5,5,0.496266727086197
1,98,1,S,1,1,2,3,4.92757721241441,0,CS,1,1206.03316703977
1,98,1,S,1,1,2,3,4.92757721241441,0,ILD2.5,5,0.498058551630446
1,99,1,S,1,1,2,4,17.904571416364,0,CS,1,1192.3556516409
1,99,1,S,1,1,2,4,17.904571416364,0,ILD2.5,5,0.511136181239902
1,100,1,S,1,1,2,5,2.89564956057396,0,CS,1,1174.38418850997
1,100,1,S,1,1,2,5,2.89564956057396,0,ILD2.5,5,0.513587364880233
1,101,1,S,1,1,2,6,3.05958343831234,0,CS,1,1189.35183094733
1,101,1,S,1,1,2,6,3.05958343831234,0,ILD2.5,5,0.501104827201443
1,5738,1,S,1,2,1,1,6.64596957509939,0,CS,1,1170.17501065249
1,5738,1,S,1,2,1,1,6.64596957509939,0,ILD2.5,5,0.496070901218462
1,5739,1,S,1,2,1,2,3.09727862333893,0,CS,1,1234.18295060155
1,5739,1,S,1,2,1,2,3.09727862333893,0,ILD2.5,5,0.502556630182914
1,5740,1,S,1,2,1,3,4.29273750621588,0,CS,1,1210.43472447803
1,5740,1,S,1,2,1,3,4.29273750621588,0,ILD2.5,5,0.500485669596954
1,5741,1,S,1,2,1,5,6.26288759604483,0,CS,1,1244.45588288393
1,5741,1,S,1,2,1,5,6.26288759604483,0,ILD2.5,5,0.518249080848026
1,5742,1,S,1,2,1,6,7.74790934271817,0,CS,1,1248.71462801643
1,5742,1,S,1,2,1,6,7.74790934271817,0,ILD2.5,5,0.511879123399435
1,5743,1,S,1,2,1,7,3.45916183795849,0,CS,1,1225.18823950535
1,5743,1,S,1,2,1,7,3.45916183795849,0,ILD2.5,5,0.514913406429961
1,5744,1,S,1,2,1,8,13.9364416528869,0,CS,1,1240.02813588151
1,5744,1,S,1,2,1,8,13.9364416528869,0,ILD2.5,5,0.523680899628437
1,5745,1,S,1,2,2,5,4.36083649376781,0,CS,1,1227.9743935079
1,5745,1,S,1,2,2,5,4.36083649376781,0,ILD2.5,5,0.50933627236385
1,5746,1,S,1,2,2,6,2.96741431135329,0,CS,1,1222.86103507762
1,5746,1,S,1,2,2,6,2.96741431135329,0,ILD2.5,5,0.500387002993005
1,5747,1,S,1,2,2,7,14.6510956561904,0,CS,1,1244.85456535648
1,5747,1,S,1,2,2,7,14.6510956561904,0,ILD2.5,5,0.52046662769355
1,5748,1,S,1,2,2,8,3.57668462934668,0,CS,1,1233.44900358484
1,5748,1,S,1,2,2,8,3.57668462934668,0,ILD2.5,5,0.514145125769455
