"Gen"	"variable"	"V3"	"1_1"	"1_2"	"1_3"	"1_4"	"1_5"	"1_6"	"3_1"	"3_2"	"3_3"	"3_4"	"3_5"	"3_6"
"1"	"vl"	"1"	"0.091"	""	""	""	""	""	"0.252"	""	""	""	""	""
"1"	"vl_ci"	"1"	"-0.018; 0.204"	""	""	""	""	""	"0.109; 0.390"	""	""	""	""	""
"1"	"vl"	"2"	"0.009"	"0.096"	""	""	""	""	"0.005"	"0.029"	""	""	""	""
"1"	"vl_ci"	"2"	"-0.083; 0.100"	"0.011; 0.181"	""	""	""	""	"-0.059; 0.070"	"-0.008; 0.066"	""	""	""	""
"1"	"vl"	"3"	"0.013"	"0.072"	"0.203"	""	""	""	"-0.018"	"0.036"	"0.230"	""	""	""
"1"	"vl_ci"	"3"	"-0.078; 0.106"	"-0.014; 0.159"	"0.094; 0.315"	""	""	""	"-0.122; 0.091"	"-0.021; 0.094"	"0.121; 0.339"	""	""	""
"1"	"vl"	"4"	"0.024"	"0.031"	"0.015"	"0.045"	""	""	"-0.026"	"0.012"	"-0.007"	"0.057"	""	""
"1"	"vl_ci"	"4"	"-0.039; 0.089"	"-0.027; 0.088"	"-0.047; 0.077"	"0.002; 0.090"	""	""	"-0.099; 0.048"	"-0.029; 0.054"	"-0.074; 0.058"	"-0.000; 0.114"	""	""
"1"	"vl"	"5"	"-0.009"	"0.055"	"0.051"	"0.005"	"0.016"	""	"0.044"	"0.019"	"0.015"	"0.006"	"0.027"	""
"1"	"vl_ci"	"5"	"-0.102; 0.084"	"-0.037; 0.148"	"-0.028; 0.129"	"-0.051; 0.061"	"-0.070; 0.102"	""	"-0.036; 0.123"	"-0.027; 0.064"	"-0.050; 0.080"	"-0.043; 0.054"	"-0.031; 0.083"	""
"1"	"vl"	"6"	"-0.042"	"-0.097"	"-0.220"	"-0.013"	"-0.041"	"0.233"	"-0.123"	"-0.038"	"-0.174"	"-0.015"	"-0.026"	"0.223"
"1"	"vl_ci"	"6"	"-0.169; 0.082"	"-0.217; 0.021"	"-0.359; -0.079"	"-0.092; 0.065"	"-0.155; 0.072"	"0.068; 0.400"	"-0.246; 0.006"	"-0.103; 0.026"	"-0.295; -0.056"	"-0.089; 0.059"	"-0.103; 0.053"	"0.090; 0.353"
"2"	"vl"	"1"	"0.154"	""	""	""	""	""	"0.121"	""	""	""	""	""
"2"	"vl_ci"	"1"	"0.038; 0.273"	""	""	""	""	""	"0.042; 0.203"	""	""	""	""	""
"2"	"vl"	"2"	"0.083"	"0.254"	""	""	""	""	"-0.025"	"0.098"	""	""	""	""
"2"	"vl_ci"	"2"	"-0.036; 0.204"	"0.108; 0.399"	""	""	""	""	"-0.091; 0.042"	"0.023; 0.175"	""	""	""	""
"2"	"vl"	"3"	"-0.073"	"0.002"	"0.122"	""	""	""	"-0.090"	"-0.008"	"0.182"	""	""	""
"2"	"vl_ci"	"3"	"-0.158; 0.013"	"-0.089; 0.095"	"0.040; 0.205"	""	""	""	"-0.167; -0.013"	"-0.076; 0.061"	"0.091; 0.277"	""	""	""
"2"	"vl"	"4"	"-0.036"	"0.060"	"0.044"	"0.015"	""	""	"0.010"	"0.012"	"-0.020"	"0.061"	""	""
"2"	"vl_ci"	"4"	"-0.105; 0.030"	"-0.015; 0.135"	"-0.013; 0.100"	"-0.042; 0.070"	""	""	"-0.045; 0.064"	"-0.042; 0.064"	"-0.077; 0.037"	"0.009; 0.113"	""	""
"2"	"vl"	"5"	"0.047"	"0.224"	"-0.005"	"0.012"	"0.172"	""	"0.005"	"0.088"	"-0.048"	"0.013"	"0.114"	""
"2"	"vl_ci"	"5"	"-0.064; 0.160"	"0.068; 0.376"	"-0.091; 0.081"	"-0.060; 0.082"	"0.049; 0.296"	""	"-0.066; 0.077"	"0.004; 0.175"	"-0.125; 0.029"	"-0.043; 0.070"	"0.030; 0.200"	""
"2"	"vl"	"6"	"0.022"	"-0.092"	"-0.091"	"-0.056"	"-0.081"	"0.075"	"0.056"	"-0.023"	"-0.099"	"-0.019"	"-0.025"	"0.105"
