"trait_num","trait2_num","pop","vl_ci","vl","Treat","Gen","ci_lo","ci_up","trait2","trait","Sig"
1,1,"1_1","-0.018; 0.204",0.091,1,1,-0.018,0.204,"CS","CS",0
1,1,"1_2","0.038; 0.273",0.154,1,2,0.038,0.273,"CS","CS",1
1,1,"1_3","-0.033; 0.125",0.047,1,3,-0.033,0.125,"CS","CS",0
1,1,"1_4","-0.020; 0.245",0.114,1,4,-0.02,0.245,"CS","CS",0
1,1,"1_5","0.015; 0.241",0.129,1,5,0.015,0.241,"CS","CS",1
1,1,"1_6","0.013; 0.118",0.066,1,6,0.013,0.118,"CS","CS",1
1,1,"3_1","0.109; 0.390",0.252,3,1,0.109,0.39,"CS","CS",1
1,1,"3_2","0.042; 0.203",0.121,3,2,0.042,0.203,"CS","CS",1
1,1,"3_3","0.037; 0.201",0.12,3,3,0.037,0.201,"CS","CS",1
1,1,"3_4","0.023; 0.180",0.102,3,4,0.023,0.18,"CS","CS",1
1,1,"3_5","0.070; 0.224",0.147,3,5,0.07,0.224,"CS","CS",1
1,1,"3_6","0.008; 0.174",0.091,3,6,0.008,0.174,"CS","CS",1
1,2,"1_1","-0.083; 0.100",0.009,1,1,-0.083,0.1,"1.2","CS",0
1,2,"1_2","-0.036; 0.204",0.083,1,2,-0.036,0.204,"1.2","CS",0
1,2,"1_3","-0.090; 0.046",-0.021,1,3,-0.09,0.046,"1.2","CS",0
1,2,"1_4","-0.043; 0.134",0.045,1,4,-0.043,0.134,"1.2","CS",0
1,2,"1_5","-0.048; 0.101",0.027,1,5,-0.048,0.101,"1.2","CS",0
1,2,"1_6","-0.078; 0.013",-0.033,1,6,-0.078,0.013,"1.2","CS",0
1,2,"3_1","-0.059; 0.070",0.005,3,1,-0.059,0.07,"1.2","CS",0
1,2,"3_2","-0.091; 0.042",-0.025,3,2,-0.091,0.042,"1.2","CS",0
1,2,"3_3","-0.141; 0.037",-0.052,3,3,-0.141,0.037,"1.2","CS",0
1,2,"3_4","-0.047; 0.092",0.023,3,4,-0.047,0.092,"1.2","CS",0
1,2,"3_5","-0.064; 0.040",-0.012,3,5,-0.064,0.04,"1.2","CS",0
1,2,"3_6","-0.059; 0.065",0.004,3,6,-0.059,0.065,"1.2","CS",0
1,3,"1_1","-0.078; 0.106",0.013,1,1,-0.078,0.106,"1.5","CS",0
1,3,"1_2","-0.158; 0.013",-0.073,1,2,-0.158,0.013,"1.5","CS",0
1,3,"1_3","-0.084; 0.066",-0.009,1,3,-0.084,0.066,"1.5","CS",0
1,3,"1_4","-0.139; 0.035",-0.052,1,4,-0.139,0.035,"1.5","CS",0
1,3,"1_5","-0.157; 0.041",-0.058,1,5,-0.157,0.041,"1.5","CS",0
1,3,"1_6","-0.146; -0.006",-0.075,1,6,-0.146,-0.006,"1.5","CS",1
1,3,"3_1","-0.122; 0.091",-0.018,3,1,-0.122,0.091,"1.5","CS",0
1,3,"3_2","-0.167; -0.013",-0.09,3,2,-0.167,-0.013,"1.5","CS",1
1,3,"3_3","-0.172; 0.002",-0.084,3,3,-0.172,0.002,"1.5","CS",0
1,3,"3_4","-0.091; 0.041",-0.024,3,4,-0.091,0.041,"1.5","CS",0
1,3,"3_5","-0.144; 0.013",-0.065,3,5,-0.144,0.013,"1.5","CS",0
1,3,"3_6","-0.086; 0.083",-0.002,3,6,-0.086,0.083,"1.5","CS",0
1,4,"1_1","-0.039; 0.089",0.024,1,1,-0.039,0.089,"2.5","CS",0
1,4,"1_2","-0.105; 0.030",-0.036,1,2,-0.105,0.03,"2.5","CS",0
1,4,"1_3","-0.135; -0.011",-0.073,1,3,-0.135,-0.011,"2.5","CS",1
1,4,"1_4","-0.068; 0.091",0.011,1,4,-0.068,0.091,"2.5","CS",0
1,4,"1_5","-0.173; 0.006",-0.084,1,5,-0.173,0.006,"2.5","CS",0
1,4,"1_6","-0.057; 0.035",-0.011,1,6,-0.057,0.035,"2.5","CS",0
1,4,"3_1","-0.099; 0.048",-0.026,3,1,-0.099,0.048,"2.5","CS",0
1,4,"3_2","-0.045; 0.064",0.01,3,2,-0.045,0.064,"2.5","CS",0
1,4,"3_3","-0.090; 0.044",-0.024,3,3,-0.09,0.044,"2.5","CS",0
1,4,"3_4","-0.034; 0.075",0.02,3,4,-0.034,0.075,"2.5","CS",0
1,4,"3_5","-0.124; 0.011",-0.055,3,5,-0.124,0.011,"2.5","CS",0
1,4,"3_6","-0.004; 0.107",0.053,3,6,-0.004,0.107,"2.5","CS",0
1,5,"1_1","-0.102; 0.084",-0.009,1,1,-0.102,0.084,"2.8","CS",0
1,5,"1_2","-0.064; 0.160",0.047,1,2,-0.064,0.16,"2.8","CS",0
1,5,"1_3","-0.083; 0.067",-0.008,1,3,-0.083,0.067,"2.8","CS",0
1,5,"1_4","-0.044; 0.159",0.059,1,4,-0.044,0.159,"2.8","CS",0
1,5,"1_5","-0.054; 0.109",0.027,1,5,-0.054,0.109,"2.8","CS",0
1,5,"1_6","-0.025; 0.059",0.017,1,6,-0.025,0.059,"2.8","CS",0
1,5,"3_1","-0.036; 0.123",0.044,3,1,-0.036,0.123,"2.8","CS",0
1,5,"3_2","-0.066; 0.077",0.005,3,2,-0.066,0.077,"2.8","CS",0
1,5,"3_3","-0.094; 0.060",-0.016,3,3,-0.094,0.06,"2.8","CS",0
1,5,"3_4","-0.038; 0.090",0.026,3,4,-0.038,0.09,"2.8","CS",0
1,5,"3_5","-0.044; 0.048",0.002,3,5,-0.044,0.048,"2.8","CS",0
1,5,"3_6","-0.058; 0.063",0.003,3,6,-0.058,0.063,"2.8","CS",0
1,6,"1_1","-0.169; 0.082",-0.042,1,1,-0.169,0.082,"3.7","CS",0
1,6,"1_2","-0.054; 0.100",0.022,1,2,-0.054,0.1,"3.7","CS",0
1,6,"1_3","-0.037; 0.121",0.042,1,3,-0.037,0.121,"3.7","CS",0
1,6,"1_4","-0.079; 0.106",0.014,1,4,-0.079,0.106,"3.7","CS",0
1,6,"1_5","-0.048; 0.136",0.043,1,5,-0.048,0.136,"3.7","CS",0
1,6,"1_6","0.019; 0.151",0.085,1,6,0.019,0.151,"3.7","CS",1
