"Animal","Gen","Treatment","Treat","Line","Vial","Ind","h1","h2","h3"
1,1,"S",1,1,1,1,-0.733045603620075,-0.506640089940895,-1.69299234946344
2,1,"S",1,1,1,2,-0.877692684350217,-1.75375060168695,-0.208716088817041
3,1,"S",1,1,1,3,-0.783911841222685,-0.14606015652495,-0.0941517284349124
4,1,"S",1,1,1,4,-0.0011112972221978,-0.0818232451829065,0.771178219214432
5,1,"S",1,1,1,5,0.779282013155862,-1.57790856706374,-0.540680047881808
6,1,"S",1,1,1,6,-2.18570953125459,-1.51163069668613,-0.618676180876599
7,1,"S",1,1,2,1,-0.00885892122000044,0.135976292929465,-3.54326256219866
8,1,"S",1,1,2,2,0.0931934468445084,0.531792066449763,-0.247899387103106
9,1,"S",1,1,2,3,-0.221412738736651,-0.197420525266519,-1.31595249871627
10,1,"S",1,1,2,4,0.423941268961621,-0.588832779325681,1.23928189197491
11,1,"S",1,1,2,5,1.02307522107136,-0.416242804905038,-0.127355369316182
12,1,"S",1,1,2,6,1.39209194049737,1.03115007748515,-0.834115104160822
13,1,"S",1,2,1,1,0.906586630858373,1.30282083705338,1.09711854359313
14,1,"S",1,2,1,2,0.545811647725492,0.211635082639578,0.67441461945077
15,1,"S",1,2,1,3,1.10051631296745,-0.76196496520393,0.247346462936642
16,1,"S",1,2,1,4,0.157130099147922,-2.01181037953474,-1.3160758082762
17,1,"S",1,2,1,5,1.17054642342738,1.27121084525834,-0.38761422528604
18,1,"S",1,2,1,6,1.98974924829707,1.37081734806189,-0.594026405520194
19,1,"S",1,2,2,1,1.47356631162611,-0.0199081480945709,0.248010927000047
20,1,"S",1,2,2,2,3.04620361620805,-0.393860354906744,-0.687844145486755
21,1,"S",1,2,2,3,0.857857673121797,0.868009635280305,-0.750614749458962
22,1,"S",1,2,2,4,1.48839308180711,-0.746757527303152,0.650209387518211
23,1,"S",1,2,2,5,0.484547190070656,0.0587502651311684,-0.479014252586335
24,1,"S",1,2,2,6,1.27074734458046,0.390441362542985,-0.0671113858142197
25,1,"S",1,3,1,1,1.67186242562572,-0.219459296238266,-0.863210679888249
26,1,"S",1,3,1,2,0.0287057720411997,1.46665662724509,0.40453064324322
27,1,"S",1,3,1,3,2.55770696243426,0.510117020410273,1.25088645881353
28,1,"S",1,3,1,4,1.48796790765931,0.263355474638165,-0.410513296987728
29,1,"S",1,3,1,5,1.64519503246751,-0.81560594521193,-1.1290084124707
30,1,"S",1,3,1,6,1.98414941898889,0.978606104593982,-0.112788395689848
31,1,"S",1,3,2,1,1.03448787767106,-0.372901600453004,0.291599360471381
32,1,"S",1,3,2,2,1.10837531079342,-1.70642511147032,-0.35298989651625
33,1,"S",1,3,2,3,0.641477666744213,-0.339055290858544,0.989889706835573
34,1,"S",1,3,2,5,0.0387144417004912,-2.6772362261216,-1.2568563742401
35,1,"S",1,3,2,6,0.407349065247238,-1.2233844683879,-0.811195733818305
36,1,"S",1,4,1,1,0.0441656187946253,0.0620504437202602,1.42458083658386
37,1,"S",1,4,1,2,-2.01909722316195,-1.67438816349261,0.102007002064837
38,1,"S",1,4,1,3,0.757216212516142,1.34623146992118,1.07398340789532
39,1,"S",1,4,1,4,-1.13471590332083,0.243552290523441,0.496420327137068
40,1,"S",1,4,1,5,-1.06133318540944,0.160453396246279,0.354262971715799
41,1,"S",1,4,1,6,1.95641566651784,0.654110186891506,-0.0341443680499404
42,1,"S",1,4,2,1,-0.447631870214057,-1.25355985512357,-0.56536355155553
43,1,"S",1,4,2,2,-1.02939266260665,-1.28061275257034,0.090774498980099
44,1,"S",1,4,2,3,-1.42141548976645,-2.23006099689969,-0.49923726511073
45,1,"S",1,4,2,4,-0.171163481513887,-1.75554603871964,0.121206385553173
46,1,"S",1,4,2,5,-0.621197735040256,-2.67075584884664,0.788638070165502
47,1,"S",1,4,2,6,-1.23963186309447,-2.78336303919487,1.74131468925811
48,1,"S",1,5,1,1,0.126977758542094,0.610600666278337,-0.968985216540969
49,1,"S",1,5,1,2,0.0103084178755473,0.764712435651893,0.0753378172655918
50,1,"S",1,5,1,3,0.277521620574823,-1.48301192561739,-0.698824427684658
51,1,"S",1,5,1,4,-0.188797016731348,0.505159080071988,0.486972029113707
52,1,"S",1,5,1,5,0.605189970576718,-0.549833742017717,-0.977780797133519
53,1,"S",1,5,1,6,-0.12005748898253,-0.557355545370973,-1.78246156817144
54,1,"S",1,5,2,1,0.872919015150924,-0.467788448534752,-1.15606975643324
55,1,"S",1,5,2,2,-0.985228514267825,-1.57587108381064,-0.124584043875041
56,1,"S",1,5,2,3,-0.708731042148356,-1.06361601765684,0.796161294826797
57,1,"S",1,5,2,4,0.418205835556321,0.493917313613,0.412524454791279
58,1,"S",1,5,2,5,0.68391238549909,1.21937456704677,0.745753604793761
59,1,"S",1,5,2,6,1.16323654541594,0.650859375901601,0.086315705669542
60,1,"S",1,6,1,2,-0.682132062853246,-0.851090229848592,1.32125399820543
61,1,"S",1,6,1,3,0.0828268377844235,0.125555157809465,1.89913134477436
62,1,"S",1,6,1,4,-0.862356870632945,-3.2795172584019,-0.692020386350711
63,1,"S",1,6,1,5,0.133938143921694,-4.52365909224009,0.0655835965542388
64,1,"S",1,6,1,6,-1.00407447468912,-1.43884456264534,0.820179813798785
65,1,"S",1,6,2,1,0.610259981691623,-0.580109843631348,-0.218405471240996
66,1,"S",1,6,2,3,0.568346670394998,-0.128959393275581,0.848874161763098
67,1,"S",1,6,2,4,-0.588951367758649,0.839355075715707,-0.0897196912713613
68,1,"S",1,6,2,5,0.857124418276526,1.0028664512807,1.06691538629367
69,1,"S",1,7,1,1,0.101887430924411,-0.65044191083395,-0.421671868388499
70,1,"S",1,7,1,2,0.277424450451159,0.453095413176092,0.439132309259837
71,1,"S",1,7,1,3,0.120988130586294,-0.0503691612151117,0.239307229201912
72,1,"S",1,7,1,4,-0.671523981327986,-0.92402029436627,0.126370426054727
73,1,"S",1,7,1,5,0.775604310555092,0.476562637574611,1.29433883817149
74,1,"S",1,7,1,6,-0.398499190803539,0.311624746057153,0.398993520330811
75,1,"S",1,7,2,1,-1.21112507861069,-1.27547218606508,-0.165851046000544
76,1,"S",1,7,2,2,-0.827351639732336,0.401368314932799,1.44478193977875
77,1,"S",1,7,2,3,-0.926236787862644,-2.33851024000403,0.401212763183019
