Row,CovParm,CovP1,CovP2,CovP3,CovP4,CovP5,CovP6,CovP7,CovP8,CovP9,CovP10,CovP11,CovP12,CovP13,CovP14,CovP15,CovP16,CovP17,CovP18,CovP19,CovP20,CovP21,CovP22,CovP23,CovP24,CovP25,CovP26,CovP27,CovP28,CovP29,CovP30,CovP31,CovP32,CovP33,CovP34,CovP35,CovP36,CovP37,CovP38,CovP39,CovP40,CovP41,CovP42,CovP43,CovP44,CovP45,CovP46,CovP47,CovP48,CovP49,CovP50,CovP51,CovP52,CovP53,CovP54,CovP55,CovP56,CovP57,CovP58,CovP59,CovP60,CovP61,CovP62,CovP63
1,"UN(1,1)",0.002520,0.000097,0.000108,-0.00070,0.000072,0.000269,-0.00041,-0.00002,0.000112,0.000058,0.000113,0.000035,2.03E-7,-0.00003,8.43E-6,0.000584,-0.00011,-0.00029,-0.00008,-0.00001,0.000311,-0.00065,-0.00039,-0.00021,-0.00006,-0.00005,-1.15E-6,0.000024,0.000023,-4.51E-6,3.069E-8,-0.00019,-0.00010,-0.00002,0.000013,-0.00005,0.000306,0.000158,0.000049,-0.00003,0.000080,-0.00011,-0.00007,-0.00001,3.505E-6,-0.00006,-0.00002,-0.00002,0.000084,0.000031,0.000013,-0.00001,-9.09E-7,3.868E-6,-0.00001,0.000021,4.589E-6,-0.00002,-0.00001,7.134E-6,-0.00001,-9.46E-6,0.000013
2,"UN(2,1)",0.000097,0.002080,0.000116,0.000355,-0.00064,-0.00029,0.000284,-0.00035,-0.00016,-0.00009,0.001370,0.000137,-0.00038,-0.00021,0.000124,-0.00074,0.000495,0.000360,0.000218,0.000282,-0.00038,-0.00031,-0.00059,-0.00060,0.000069,-1.08E-6,0.000031,0.000020,0.000029,-5.25E-6,3.372E-6,-0.00043,-0.00037,-0.00002,0.000021,-0.00022,0.000191,0.000302,-0.00002,-0.00002,0.000207,-0.00010,-0.00005,-0.00004,-0.00001,1.668E-6,-0.00004,3.327E-6,0.000037,0.000073,4.245E-6,-0.00001,-0.00004,-4.38E-6,-0.00003,0.000049,1.8E-8,-1.88E-6,-0.00002,4.117E-6,-0.00001,-0.00001,0.000011
3,"UN(2,2)",0.000108,0.000116,0.006517,-0.00010,0.001059,0.000300,-0.00004,0.000985,0.000234,0.000174,0.000117,0.004348,0.000668,0.000624,0.002908,-1.88E-6,-0.00221,-0.00041,-0.00035,-0.00145,0.000766,-0.00015,-0.00047,-0.00153,0.000087,0.000272,-0.00005,0.000021,0.000034,-0.00003,-2.41E-6,-0.00036,-0.00118,0.000197,0.000040,-0.00090,0.000105,0.000365,-0.00004,-6.89E-6,0.000272,-0.00009,-0.00003,-0.00007,-0.00006,0.000014,0.000054,-5.04E-6,0.000014,0.000066,-1.04E-6,-3.74E-6,-0.00006,-0.00007,0.000038,0.000042,-0.00007,5.653E-6,-0.00001,-5.35E-6,-7.88E-6,-2.33E-6,2.579E-6
4,"UN(3,1)",-0.00070,0.000355,-0.00010,0.001966,-0.00007,-0.00101,0.000412,-0.00010,-0.00045,-0.00011,-0.00006,-0.00008,0.000034,8.634E-6,-0.00005,-0.00135,0.000138,0.000779,0.000345,0.000030,-0.00066,-0.00015,0.000023,0.000070,-0.00063,-0.00035,-0.00013,0.000113,0.000055,0.000045,-0.00002,0.000203,0.000143,-0.00014,0.000015,0.000119,0.000318,0.000141,0.000304,-0.00005,-0.00002,-0.00024,0.000049,0.000041,0.000023,0.000013,0.000019,-0.00008,-0.00002,-9.84E-6,0.000061,3.95E-7,0.000031,0.000016,0.000030,-0.00002,7.647E-6,-0.00002,-0.00002,-8.2E-6,-0.00002,-7.46E-6,0.000025
5,"UN(3,2)",0.000072,-0.00064,0.001059,-0.00007,0.003080,0.000903,-0.00016,0.000722,0.000593,0.000243,-0.00043,0.000264,0.002028,0.000406,-0.00014,0.000196,-0.00218,-0.00133,-0.00053,-0.00131,0.001342,-0.00007,-0.00008,0.000197,-0.00028,-0.00098,0.000310,0.000063,0.000159,3.979E-6,-0.00004,0.000026,0.000418,-0.00079,0.000102,0.000525,0.000167,0.000444,0.000135,-0.00004,0.000279,-0.00019,0.000013,0.000052,0.000105,-0.00001,0.000049,0.000053,-6.59E-6,-0.00003,0.000022,6.988E-6,0.000039,0.000071,0.000010,-0.00003,0.000055,-6.1E-6,-0.00004,-0.00003,-4.36E-6,-0.00002,0.000019
6,"UN(3,3)",0.000269,-0.00029,0.000300,-0.00101,0.000903,0.005328,-0.00030,0.000324,0.001023,0.000347,-0.00009,0.000121,-0.00020,0.000126,0.000175,0.000740,-0.00069,-0.00354,-0.00076,0.000048,0.002426,-0.00003,0.000023,-0.00005,-0.00027,0.000239,-0.00232,0.000036,-0.00006,0.000388,-0.00007,0.000093,-0.00012,0.000843,-0.00017,-0.00035,0.000120,-0.00013,0.001104,-0.00019,-0.00041,-0.00053,9.051E-6,0.000012,3.241E-6,0.000085,0.000102,0.000249,3.016E-8,-5.04E-6,-0.00006,-4.7E-6,-8.23E-6,-0.00002,0.000034,0.000011,-0.00002,-0.00004,-0.00004,-0.00013,0.000031,-4.94E-6,0.000068
7,"UN(4,1)",-0.00041,0.000284,-0.00004,0.000412,-0.00016,-0.00030,0.001191,0.000064,-0.00033,-0.00038,0.000326,0.000010,-0.00010,0.000016,0.000030,-0.00046,0.000143,0.000312,0.000259,0.000088,-0.00030,0.000106,0.000063,0.000045,0.000111,0.000061,0.000034,-0.00050,-0.00029,-0.00005,0.000038,-0.00007,-0.00003,0.000013,-0.00013,-0.00004,-0.00006,-0.00004,-0.00005,0.000229,0.000013,0.000017,-0.00001,0.000013,0.000011,0.000013,0.000010,8.746E-6,-0.00003,-2.77E-6,-0.00005,0.000117,9.175E-6,7.624E-6,3.459E-6,7.135E-6,5.826E-6,-6.5E-6,-4.02E-6,1.161E-6,-0.00002,-5.64E-6,8.612E-6
8,"UN(4,2)",-0.00002,-0.00035,0.000985,-0.00010,0.000722,0.000324,0.000064,0.001904,0.000348,0.000475,-0.00021,0.000870,0.000477,0.001320,0.000729,0.000136,-0.00084,-0.00039,-0.00072,-0.00061,0.000493,0.000048,0.000098,0.000102,0.000045,0.000148,-0.00005,-0.00024,-0.00075,0.000107,0.000034,0.000020,-0.00009,0.000137,-0.00057,-0.00019,-0.00004,-0.00008,-0.00001,0.000194,-0.00003,6.373E-6,-4.48E-6,-5.28E-6,0.000056,5.427E-6,0.000018,-8.59E-6,-0.00003,-0.00001,0.000019,0.000058,-4.89E-6,0.000039,0.000015,-0.00002,0.000023,1.193E-6,-0.00002,-2.05E-6,-0.00001,-0.00002,9.558E-6
9,"UN(4,3)",0.000112,-0.00016,0.000234,-0.00045,0.000593,0.001023,-0.00033,0.000348,0.001846,0.000551,-0.00009,0.000124,0.000565,-0.00002,-0.00002,0.000346,-0.00046,-0.00095,-0.00124,-0.00038,0.000819,0.000018,4.26E-6,-0.00001,0.000107,0.000042,0.000366,-0.00012,0.000068,-0.00095,0.000286,-0.00004,-9.88E-6,-0.00023,0.000342,0.000110,-0.00004,-0.00001,-0.00017,0.000451,0.000112,0.000085,-9.59E-6,-4.85E-6,-0.00001,-0.00001,0.000015,0.000043,0.000038,0.000049,0.000052,-0.00004,2.557E-6,-8.69E-6,0.000012,0.000028,-7.7E-6,-1.07E-6,-0.00002,-0.00004,-0.00004,-9.95E-6,0.000028
10,"UN(4,4)",0.000058,-0.00009,0.000174,-0.00011,0.000243,0.000347,-0.00038,0.000475,0.000551,0.002240,-0.00010,0.000157,0.000197,0.000617,0.000171,0.000132,-0.00025,-0.00034,-0.00066,-0.00022,0.000351,-0.00001,-0.00002,-0.00002,-0.00002,-0.00003,-0.00006,0.000159,0.000111,0.000273,-0.00143,0.000011,0.000014,0.000042,-0.00024,-0.00003,-3.27E-7,0.000016,0.000033,-0.00011,-0.00002,-0.00002,5.019E-6,3.381E-6,4.164E-8,1.69E-6,-3.37E-6,-0.00001,-0.00003,0.000040,0.000046,-0.00001,-6.87E-7,3.747E-6,1.683E-6,0.000035,5.109E-6,5.424E-6,-3.25E-6,-1.45E-6,-0.00004,-6.02E-6,0.000011
