CovParm,Subject,Estimate
"UN(1,1)",Line,0.1198
"UN(2,1)",Line,-0.05210
"UN(2,2)",Line,0.2025
"UN(3,1)",Line,-0.08418
"UN(3,2)",Line,0.09401
"UN(3,3)",Line,0.1411
"UN(4,1)",Line,-0.02352
"UN(4,2)",Line,0.06937
"UN(4,3)",Line,0.1029
"UN(4,4)",Line,0.04869
"UN(5,1)",Line,-0.01582
"UN(5,2)",Line,0.1176
"UN(5,3)",Line,0.07580
"UN(5,4)",Line,0.04004
"UN(5,5)",Line,0.09572
"UN(6,1)",Line,0.09620
"UN(6,2)",Line,-0.09574
"UN(6,3)",Line,-0.1364
"UN(6,4)",Line,-0.09110
"UN(6,5)",Line,-0.06479
"UN(6,6)",Line,0.09723
"UN(1,1)",Vial(Treat*Line),0.006359
"UN(2,1)",Vial(Treat*Line),0.02978
"UN(2,2)",Vial(Treat*Line),0.007459
"UN(3,1)",Vial(Treat*Line),0.01220
"UN(3,2)",Vial(Treat*Line),-0.05352
"UN(3,3)",Vial(Treat*Line),0.04527
"UN(4,1)",Vial(Treat*Line),-0.00046
"UN(4,2)",Vial(Treat*Line),-0.00415
"UN(4,3)",Vial(Treat*Line),-0.04341
"UN(4,4)",Vial(Treat*Line),0.003606
"UN(5,1)",Vial(Treat*Line),-0.00020
"UN(5,2)",Vial(Treat*Line),0.02752
"UN(5,3)",Vial(Treat*Line),-0.07191
"UN(5,4)",Vial(Treat*Line),0.02936
"UN(5,5)",Vial(Treat*Line),0.06160
"UN(6,1)",Vial(Treat*Line),-0.03275
"UN(6,2)",Vial(Treat*Line),0.003030
"UN(6,3)",Vial(Treat*Line),-0.03602
"UN(6,4)",Vial(Treat*Line),0.05174
"UN(6,5)",Vial(Treat*Line),-0.00479
"UN(6,6)",Vial(Treat*Line),0.06605
"UN(1,1)",Anim(Trea*Line*Vial),0.6684
"UN(2,1)",Anim(Trea*Line*Vial),0.2331
"UN(2,2)",Anim(Trea*Line*Vial),1.0847
"UN(3,1)",Anim(Trea*Line*Vial),0.07285
"UN(3,2)",Anim(Trea*Line*Vial),0.04704
"UN(3,3)",Anim(Trea*Line*Vial),1.0972
"UN(4,1)",Anim(Trea*Line*Vial),-0.05770
"UN(4,2)",Anim(Trea*Line*Vial),-0.09704
"UN(4,3)",Anim(Trea*Line*Vial),-0.05342
"UN(4,4)",Anim(Trea*Line*Vial),1.0006
"UN(5,1)",Anim(Trea*Line*Vial),0.1768
"UN(5,2)",Anim(Trea*Line*Vial),0.7040
"UN(5,3)",Anim(Trea*Line*Vial),-0.2430
"UN(5,4)",Anim(Trea*Line*Vial),-0.00853
"UN(5,5)",Anim(Trea*Line*Vial),0.9037
"UN(6,1)",Anim(Trea*Line*Vial),-0.09417
"UN(6,2)",Anim(Trea*Line*Vial),-0.1810
"UN(6,3)",Anim(Trea*Line*Vial),-0.4304
"UN(6,4)",Anim(Trea*Line*Vial),-0.1318
"UN(6,5)",Anim(Trea*Line*Vial),-0.08271
"UN(6,6)",Anim(Trea*Line*Vial),0.8334
